"name"	"rcor_and_trim"	"PASA_Settings"	"number_of_alignments"	"Alignment_kind"	"total_counts"	"Total_mRNA"	"No_fussion_mRNA"	"percent_fused"
"23"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	50	"EndToEnd.compreh"	13623	5378	2988	0.555596876162142
"24"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	50	"Local.compreh"	13555	5370	2982	0.555307262569832
"25"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	1	"EndToEnd.compreh"	13440	5259	2964	0.563605248146035
"26"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	1	"Local.compreh"	13359	5258	2958	0.562571319893496
"27"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	10	"EndToEnd.compreh"	13821	5343	2990	0.559610705596107
"28"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	10	"Local.compreh"	13770	5341	2986	0.559071334956001
"29"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	100	"EndToEnd.compreh"	13796	5358	2997	0.559350503919373
"30"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	100	"Local.compreh"	13750	5347	2991	0.55937909107911
"31"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	15	"EndToEnd.compreh"	13749	5356	3002	0.560492905153099
"32"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	15	"Local.compreh"	13692	5354	2996	0.559581621217781
"33"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	5	"EndToEnd.compreh"	13873	5335	2990	0.560449859418932
"34"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	5	"Local.compreh"	13807	5326	2984	0.560270371761172
"35"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	50	"EndToEnd.compreh"	13810	5353	2997	0.559872968428918
"36"	"PASA_rcor-only_gene-overlap-30.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-30.0"	50	"Local.compreh"	13746	5346	2991	0.559483726150393
"37"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	1	"EndToEnd.compreh"	13659	5228	2963	0.566755929609793
"38"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	1	"Local.compreh"	13581	5223	2956	0.565958261535516
"39"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	10	"EndToEnd.compreh"	14051	5308	2987	0.562735493594574
"40"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	10	"Local.compreh"	13993	5305	2982	0.562111215834119
"41"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	100	"EndToEnd.compreh"	14026	5320	2994	0.562781954887218
"42"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	100	"Local.compreh"	13979	5307	2988	0.563029960429621
"43"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	15	"EndToEnd.compreh"	13976	5322	2999	0.563509958662157
"44"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	15	"Local.compreh"	13914	5318	2992	0.562617525385483
"45"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	5	"EndToEnd.compreh"	14099	5300	2987	0.563584905660377
"46"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	5	"Local.compreh"	14035	5288	2980	0.563540090771558
"47"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	50	"EndToEnd.compreh"	14039	5315	2994	0.563311382878645
"48"	"PASA_rcor-only_gene-overlap-40.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-40.0"	50	"Local.compreh"	13974	5308	2988	0.562923888470234
"49"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	1	"EndToEnd.compreh"	13922	5198	2962	0.569834551750673
"50"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	1	"Local.compreh"	13849	5191	2956	0.569447120015411
"51"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	10	"EndToEnd.compreh"	14322	5277	2986	0.565851809740383
"52"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	10	"Local.compreh"	14274	5273	2980	0.565143182249194
"53"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	100	"EndToEnd.compreh"	14301	5284	2992	0.566237698713096
"54"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	100	"Local.compreh"	14254	5272	2986	0.56638846737481
"55"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	15	"EndToEnd.compreh"	14248	5289	2997	0.566647759500851
"56"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	15	"Local.compreh"	14191	5285	2990	0.565752128666036
"57"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	5	"EndToEnd.compreh"	14373	5268	2985	0.566628701594533
"58"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	5	"Local.compreh"	14307	5258	2979	0.566565233929251
"59"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	50	"EndToEnd.compreh"	14313	5280	2992	0.566666666666667
"60"	"PASA_rcor-only_gene-overlap-50.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-50.0"	50	"Local.compreh"	14249	5274	2986	0.566173682214638
"61"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	1	"EndToEnd.compreh"	14272	5154	2937	0.569848661233993
"62"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	1	"Local.compreh"	14202	5151	2933	0.569403999223452
"63"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	10	"EndToEnd.compreh"	14669	5233	2959	0.565450028664246
"64"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	10	"Local.compreh"	14624	5228	2954	0.565034429992349
"65"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	100	"EndToEnd.compreh"	14649	5240	2965	0.565839694656489
"66"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	100	"Local.compreh"	14607	5229	2960	0.566073819085867
"67"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	15	"EndToEnd.compreh"	14596	5244	2970	0.566361556064073
"68"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	15	"Local.compreh"	14544	5241	2964	0.56554092730395
"69"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	5	"EndToEnd.compreh"	14720	5223	2958	0.56634118322803
"70"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	5	"Local.compreh"	14657	5215	2953	0.566251198465964
"71"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	50	"EndToEnd.compreh"	14664	5235	2965	0.566380133715377
"72"	"PASA_rcor-only_gene-overlap-60.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-60.0"	50	"Local.compreh"	14602	5231	2960	0.565857388644619
"73"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	1	"EndToEnd.compreh"	14748	5115	2906	0.568132942326491
"74"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	1	"Local.compreh"	14680	5114	2903	0.567657411028549
"75"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	10	"EndToEnd.compreh"	15149	5191	2924	0.563282604507802
"76"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	10	"Local.compreh"	15112	5187	2921	0.563138615770195
"77"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	100	"EndToEnd.compreh"	15128	5199	2930	0.563569917291787
"78"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	100	"Local.compreh"	15089	5187	2927	0.564295353769038
"79"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	15	"EndToEnd.compreh"	15079	5202	2935	0.564206074586697
"80"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	15	"Local.compreh"	15031	5200	2931	0.563653846153846
"81"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	5	"EndToEnd.compreh"	15203	5181	2923	0.56417679984559
"82"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	5	"Local.compreh"	15147	5172	2920	0.564578499613302
"83"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	50	"EndToEnd.compreh"	15143	5194	2930	0.564112437427801
"84"	"PASA_rcor-only_gene-overlap-70.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-70.0"	50	"Local.compreh"	15086	5189	2927	0.564077857005203
"85"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	1	"EndToEnd.compreh"	15467	5081	2859	0.562684510923047
"86"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	1	"Local.compreh"	15392	5078	2857	0.562623079952737
"87"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	10	"EndToEnd.compreh"	15876	5154	2874	0.557625145518044
"88"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	10	"Local.compreh"	15835	5150	2873	0.557864077669903
"89"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	100	"EndToEnd.compreh"	15855	5161	2879	0.557837628366596
"90"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	100	"Local.compreh"	15816	5149	2877	0.558749271703243
"91"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	15	"EndToEnd.compreh"	15811	5164	2884	0.558481797056545
"92"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	15	"Local.compreh"	15758	5162	2881	0.558117008911275
"93"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	5	"EndToEnd.compreh"	15924	5144	2873	0.558514774494557
"94"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	5	"Local.compreh"	15860	5135	2871	0.559104186952288
"95"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	50	"EndToEnd.compreh"	15871	5157	2879	0.558270312197014
"96"	"PASA_rcor-only_gene-overlap-80.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-80.0"	50	"Local.compreh"	15812	5151	2877	0.558532323820617
"97"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	1	"EndToEnd.compreh"	16635	5175	2895	0.559420289855072
"98"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	1	"Local.compreh"	16545	5177	2898	0.559783658489473
"99"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	10	"EndToEnd.compreh"	17053	5254	2914	0.554625047582794
"100"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	10	"Local.compreh"	16991	5257	2918	0.555069431234544
"101"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	100	"EndToEnd.compreh"	17034	5266	2922	0.554880364603114
"102"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	100	"Local.compreh"	16960	5261	2925	0.555977950959894
"103"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	15	"EndToEnd.compreh"	16990	5265	2924	0.555365622032289
"104"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	15	"Local.compreh"	16904	5273	2929	0.55547126872748
"105"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	5	"EndToEnd.compreh"	17099	5248	2915	0.555449695121951
"106"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	5	"Local.compreh"	17010	5247	2918	0.556127310844292
"107"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	50	"EndToEnd.compreh"	17048	5262	2922	0.555302166476625
"108"	"PASA_rcor-only_gene-overlap-90.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-90.0"	50	"Local.compreh"	16955	5263	2925	0.55576667300019
"109"	"PASA_rcor-only_minimal-overlap_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"minimal-overlap"	1	"EndToEnd.compreh"	10979	5370	2491	0.463873370577281
"110"	"PASA_rcor-only_minimal-overlap_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"minimal-overlap"	1	"Local.compreh"	10908	5372	2489	0.463328369322413
"111"	"PASA_rcor-only_minimal-overlap_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"minimal-overlap"	10	"EndToEnd.compreh"	11287	5453	2506	0.459563543003851
"112"	"PASA_rcor-only_minimal-overlap_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"minimal-overlap"	10	"Local.compreh"	11232	5459	2502	0.45832570067778
"113"	"PASA_rcor-only_minimal-overlap_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"minimal-overlap"	100	"EndToEnd.compreh"	11257	5473	2512	0.458980449479262
"114"	"PASA_rcor-only_minimal-overlap_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"minimal-overlap"	100	"Local.compreh"	11208	5463	2505	0.458539264140582
