chr	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	length	feature	feature_init	type	genome	threshold	log10baseMean	stably_expressed
Mito	67309	67381	73	+	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	73	tR(UCU)Q1	tR(UCU)Q1_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
II	668721	668840	120	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	120	YBR223W-A	YBR223W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
III	6479	8326	1848	-	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	1848	YCL073C	YCL073C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
III	9706	11082	1377	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	1377	YCL069W	YCL069W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
VII	49431	49745	315	-	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	315	YGL239C	YGL239C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
VIII	358858	359163	306	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	306	YHR125W	YHR125W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
VIII	540549	540782	234	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	234	YHR213W-A	YHR213W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
IX	47690	47698	9	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	9	YIL156W-B	YIL156W-B_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
X	59100	59172	73	-	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	73	tT(AGU)J	tT(AGU)J_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
XII	472969	474057	1089	-	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	1089	YLR157C	YLR157C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
XIII	811089	811196	108	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	108	YMR272W-B	YMR272W-B_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
XIV	765375	769376	4002	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	4002	YNR070W	YNR070W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
XIV	772657	774351	1695	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	1695	YNR072W	YNR072W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
XV	355652	355858	207	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	207	YOR011W-A	YOR011W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
Mito	70162	70237	76	+	0.2793764111393511	-1.8352955390997119	4.995684661561779	-0.36737617832866803	0.7133384381401534	NA	76	tI(GAU)Q	tI(GAU)Q_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.5538102658828765	FALSE
VIII	272627	273616	990	+	183.08161576614802	-1.8333200382380042	0.2371891196715062	-7.729359764803086	1.080888059288797e-14	4.900493785684663e-13	990	YHR083W	YHR083W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.262644736589136	FALSE
X	456239	457774	1536	+	816.0136537643498	-1.8115345518309602	0.16278310237655963	-11.128517182578385	9.113895705129611e-29	9.942690595814836e-27	1536	YJR010W	YJR010W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.9116974255490877	FALSE
X	471138	471671	534	-	1338.7441047357913	-1.7626043211472104	0.15293933418038158	-11.524859386849023	9.887348970827033e-31	1.1902322502467991e-28	534	YJR025C	YJR025C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.1266975713944576	FALSE
X	469804	470205	402	-	3.754407405061171	-1.7595822085823984	1.4587901038579056	-1.2061928607337136	0.22774313604217006	0.4305720486992774	402	YJR023C	YJR023C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.5745413977924505	TRUE
II	533762	534817	1056	+	201.9278541534686	-1.7268353553991957	0.22881506224083348	-7.5468605016118175	4.458757172577961e-14	1.898234303593861e-12	1056	YBR145W	YBR145W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.305196230141167	FALSE
X	400981	401238	258	+	1.8585995944794977	-1.7197479260869224	1.9596261863908713	-0.8775897862715628	0.380166374059469	0.5885190243746616	258	YJL020W-A	YJL020W-A_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.2691858380569649	TRUE
I	7235	9016	1782	-	142.68310588581332	-1.6594072681200125	0.2619878219325838	-6.333909934741244	2.390250754075399e-10	7.041658550613685e-9	1782	YAL067C	YAL067C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.1543725543696324	FALSE
XII	856710	856920	211	+	1389.5260660214267	-1.6366303360289496	0.14345556207521984	-11.408622380014759	3.786790898905111e-30	4.481249840026353e-28	211	snR44	snR44_snoRNA-E1	snoRNA-E1	S_cerevisiae	TRUE	3.142866698089347	FALSE
V	339864	342167	2304	-	7257.102157536418	-1.628582262110166	0.1385687229899858	-11.752884972663432	6.824829280926255e-32	8.359817199899493e-30	2304	YER091C	YER091C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.8607632366466627	FALSE
IV	133437	134723	1287	+	981.5392668480772	-1.577007596961113	0.15486629678831515	-10.183026453565333	2.3610185845582876e-24	2.1408612671929823e-22	1287	YDL182W	YDL182W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.9919076783978933	FALSE
V	27657	29543	1887	+	492.0153461776043	-1.5691086829900762	0.18211889541290988	-8.615847792358435	6.94259377504155e-18	4.2520341874859737e-16	1887	YEL065W	YEL065W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.6919786488167756	FALSE
XVI	174073	174702	630	+	1219.6097361210886	-1.567214993825932	0.14601379524118674	-10.73333510191413	7.098696461652753e-27	7.18305778192167e-25	630	YPL198W	YPL198W_mRNA-E3	mRNA-E3	S_cerevisiae	TRUE	3.0862208826716855	FALSE
XVI	339944	340945	1002	+	1477.6643352197916	-1.5615178498217492	0.47122985711180576	-3.3137073686128034	9.206780830979767e-4	0.006234892702415202	1002	YPL111W	YPL111W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.1695757913538802	FALSE
VII	288512	289309	798	+	703.4807970675597	-1.5609397804854432	0.16722090693216407	-9.334597025709616	1.0137614463534817e-20	7.693567846130445e-19	798	YGL117W	YGL117W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.8472522469855206	FALSE
I	73426	73518	93	-	3.4569844182755287	-1.5518091017661306	1.45668676326447	-1.065300475641372	0.2867399776255168	0.49567183059701864	93	YAL037C-A	YAL037C-A_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.5386974220439379	TRUE
X	629585	632941	3357	-	8091.701476112912	-1.52306320655937	0.13767725688581975	-11.06256211817538	1.9057461771835452e-28	2.047064586014694e-26	3357	YJR109C	YJR109C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.9080398521427164	FALSE
XVI	22938	24701	1764	+	596.2602380441659	-1.49525442588631	0.19514097692783022	-7.662431793806721	1.8244503043124255e-14	8.011516996672551e-13	1764	YPL274W	YPL274W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.7754358491348183	FALSE
X	453683	454681	999	-	14000.392809183873	-1.4946646127961998	0.13972229811549727	-10.69739499675764	1.0467974625473228e-26	1.0441056976436298e-24	999	YJR009C	YJR009C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	4.146140220854508	FALSE
XV	206103	207176	1074	-	942.3832349134437	-1.4784733520493956	0.1469345840426173	-10.062119559412746	8.123035322451936e-24	7.089379077669928e-22	1074	YOL064C	YOL064C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.9742275513719902	FALSE
XVI	335953	337143	1191	-	45.19483013668636	-1.4477416539368515	0.4272359227560012	-3.388623420516237	7.024440852671086e-4	0.0049590137546359474	1191	YPL113C	YPL113C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	1.6550887584502814	FALSE
Mito	66210	66285	76	+	0.7941232355816461	-1.4453471932865911	3.154429887137328	-0.45819601164071394	0.6468116250242293	NA	76	tQ(UUG)Q	tQ(UUG)Q_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.1001120965904216	FALSE
XIV	553380	554750	1371	+	515.3115701808683	-1.4234898540368892	0.16746262792427613	-8.50034345979909	1.8903055975689072e-17	1.1184842103581448e-15	1371	YNL040W	YNL040W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.712069893691997	FALSE
V	327598	328110	513	+	0.7800307714421312	-1.4175201061478158	2.9916150748731463	-0.473831048002699	0.6356203922318524	NA	513	YER084W-A	YER084W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.10788826448398289	FALSE
VI	64243	64599	357	-	562.6842088002195	-1.415993643411604	0.17619754625501624	-8.036398199111082	9.251774612571286e-16	4.680861619200922e-14	357	YFL034C-A	YFL034C-A_mRNA-E2	mRNA-E2	S_cerevisiae	TRUE	2.7502647272614063	FALSE
Mito	68322	68396	75	+	3.125192262084894	-1.4152256135247852	1.5153966802340855	-0.9338977919010442	0.35035661797178214	0.5615679308262128	75	tD(GUC)Q	tD(GUC)Q_tRNA-E1	tRNA-E1	S_cerevisiae	FALSE	0.49487674033420054	TRUE
III	307801	308175	375	+	3.1725388308198084	-1.4094690982320435	1.4919399312366488	-0.9447224172515803	0.34480060921998956	0.5562379513803066	375	YCR104W	YCR104W_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.5014069464192452	TRUE
II	331833	332360	528	+	63.48267291415021	-1.4065489612763815	0.361297438040298	-3.8930499172803414	9.899177325426497e-5	9.240114450017085e-4	528	YBR047W	YBR047W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	1.8026552042741701	FALSE
XII	448650	448721	72	-	3.1584463666802933	-1.4029553503447603	1.4864345199016094	-0.9438393225943281	0.3452517628198236	0.5567513029627915	72	tQ(UUG)L	tQ(UUG)L_tRNA-E1	tRNA-E1	S_cerevisiae	FALSE	0.4994735065738856	TRUE
XIII	82275	82290	16	+	0.8132848760375303	-1.4014083739239491	3.129513599897191	-0.44780389322161357	0.6542947334230028	NA	16	YML094W	YML094W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.08975730382737791	FALSE
XVI	514511	517018	2508	-	1085.9646641394272	-1.3943843403973784	0.17205547771114982	-8.10427170902573	5.306240277958601e-16	2.828104551199004e-14	2508	YPL019C	YPL019C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.035815694112009	FALSE
VIII	237004	237693	690	+	1613.3797982904396	-1.393621288437487	0.14837633394941516	-9.392476895355859	5.8605564801283426e-21	4.597573634186077e-19	690	YHR071W	YHR071W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.2077366146833586	FALSE
VII	261580	261915	336	+	3.9435463144387937	-1.3902159461344976	1.3417475533904037	-1.036123332307647	0.3001446083392046	0.509249720197677	336	YGL132W	YGL132W_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.5958869457039703	TRUE
XIII	395054	396379	1326	-	2201.0981598952544	-1.3899115555356152	0.13281233434069492	-10.465229471610405	1.2477384545517952e-25	1.1772580932000858e-23	1326	YMR062C	YMR062C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.3426394107270285	FALSE
Mito	63862	63937	76	+	0.7991924118980154	-1.3769399650902236	2.969148825318973	-0.46374905607579314	0.6428275462137611	NA	76	tT(UGU)Q1	tT(UGU)Q1_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.09734864826363662	FALSE
Mito	67468	67542	75	+	0.7991924118980154	-1.3769399650902236	2.969148825318973	-0.46374905607579314	0.6428275462137611	NA	75	tG(UCC)Q	tG(UCC)Q_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.09734864826363662	FALSE
XVI	76669	79353	2685	-	640.191060957377	-1.3565009019568415	0.17950852514120333	-7.556749189988627	4.1326775711148866e-14	1.7921959504052259e-12	2685	YPL249C	YPL249C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.8063096057593975	FALSE
II	429548	430951	1404	-	50.69325217775583	-1.3510729282019278	0.3945868763716079	-3.4240189147333306	6.170232617401498e-4	0.004459763708068366	1404	YBR093C	YBR093C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	1.7049501538698186	FALSE
Mito	77431	77505	75	+	0.7850999477585004	-1.3465053804191431	3.1659624496993386	-0.425306806954396	0.6706130320440075	NA	75	tF(GAA)Q	tF(GAA)Q_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.10507505153893543	FALSE
VI	213312	216419	3108	+	1506.9340312869974	-1.3412707423741743	0.16256715799159058	-8.250564006560026	1.5764871303292296e-16	8.805626515166945e-15	3108	YFR030W	YFR030W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.178094240718663	FALSE
IV	770357	771454	1098	+	4733.661761190693	-1.3359076867199289	0.12361649915757499	-10.806872026176993	3.1937505033076835e-27	3.328174031954365e-25	1098	YDR158W	YDR158W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.675197222647469	FALSE
XIII	608689	609981	1293	+	667.0401057981072	-1.322139157300282	0.16886538939554635	-7.829544953130296	4.89638901206001e-15	2.2640124557750325e-13	1293	YMR173W	YMR173W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.8241519466649434	FALSE
I	225460	226863	1404	+	13.76811060570833	-1.3148274618363887	0.7631466775983925	-1.7229026875595197	0.08490612426118177	0.22111524198679483	1404	YAR071W	YAR071W_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	1.1388743462253614	TRUE
XVI	487362	488207	846	-	7.655062786473151	-1.314699956990791	0.9844183521990122	-1.3355093940030571	0.18170968276997324	0.3741365393983937	846	YPL033C	YPL033C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.8839487571122684	TRUE
IV	399340	399361	22	+	5.285670479058134	-1.300542785710407	1.1767587397009704	-1.1051906748879483	0.26907697666060904	0.4763426600011086	22	YDL029W	YDL029W_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.7231000847155726	TRUE
VIII	552099	553502	1404	+	61.00276856925497	-1.2973645546480979	0.3723928480970391	-3.483860018466378	4.942379089982325e-4	0.0037144984721481805	1404	YHR215W	YHR215W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	1.7853495456183952	FALSE
II	469748	473926	4179	-	4302.08158422515	-1.2960028652957687	0.12438144610471358	-10.419583514125545	2.0183509346136157e-25	1.878950163396302e-23	4179	YBR115C	YBR115C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.6336786420446634	FALSE
XIII	457285	457959	675	-	105.37247482813162	-1.2908312560526594	0.32389656965095764	-3.985319317965314	6.738943969992912e-5	6.599061262060381e-4	675	YMR095C	YMR095C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.0227271802178652	FALSE
VI	138204	143517	5314	+	100.81405320041809	-1.286712900293577	0.32913500964159226	-3.9093771935557027	9.253438229613628e-5	8.730744016103021e-4	5314	YFL002W-A-E1	YFL002W-A-E1	NA_SC	S_cerevisiae	TRUE	2.003521075780026	FALSE
VIII	374654	375100	447	-	30.766359149558053	-1.2736912202302804	0.5114365860024	-2.4904186659503145	0.01275926956819127	0.05362003463831343	447	YHR136C	YHR136C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	1.4880761054508604	TRUE
XII	1012501	1013775	1275	+	611.8362185742243	-1.2663359571653017	0.38253255210574466	-3.3104005141377995	9.316256282215146e-4	0.006296815233535928	1275	YLR438W	YLR438W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.7866351821310924	FALSE
V	539464	540363	900	-	334.720484550762	-1.2561040904854042	0.2029355546574931	-6.189669881186709	6.029034512152158e-10	1.6517473779125555e-8	900	YER175C	YER175C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.52468229154849	FALSE
VII	1000927	1002240	1314	+	4605.090329541288	-1.2543096535608453	0.1530089366744398	-8.197623490643982	2.4518588112349526e-16	1.3479431669324755e-14	1314	YGR254W	YGR254W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.663238153368174	FALSE
XI	17359	18339	981	-	716.392591073016	-1.2413609713001068	0.17910434190012414	-6.930937341498622	4.180612044908009e-12	1.466785592841594e-10	981	YKL218C	YKL218C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.8551510857298354	FALSE
XVI	876847	877632	786	-	304.47891047801266	-1.2298417369821932	0.22681366752128143	-5.42225585619438	5.885156398994135e-8	1.1319603850627286e-6	786	YPR167C	YPR167C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.4835572169025038	FALSE
VIII	140011	141402	1392	-	4023.4245437216537	-1.2279961840792677	0.13248332425009357	-9.269062284104034	1.8778956926476574e-20	1.4098352393619294e-18	1392	YHR018C	YHR018C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.6045958608754503	FALSE
XIII	762110	763113	1004	-	29222.29036958661	-1.2274968692671067	0.14379755489338214	-8.536284710663036	1.3860657709733713e-17	8.342682080117309e-16	1004	snR86	snR86_snoRNA-E1	snoRNA-E1	S_cerevisiae	TRUE	4.465714251840959	FALSE
V	234937	235491	555	+	429.90437542308564	-1.215003360085027	0.1922409491788229	-6.3202109918570395	2.6120641274344185e-10	7.630724576463226e-9	555	YER042W	YER042W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.633371865243623	FALSE
IV	337487	337524	38	+	8.594932474204281	-1.206482940755807	0.9079142637949259	-1.328851179970359	0.1838970731044126	0.37730513206435756	38	YDL064W	YDL064W_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.9342424690165947	TRUE
XI	438777	439385	609	-	726.7689069663446	-1.199645007146245	0.1770038589600524	-6.777507644152493	1.2226668506041716e-11	4.0458104032788276e-10	609	YKL001C	YKL001C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.861396338804137	FALSE
